GeoFIPS,GeoName,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
01129,"Washington, AL",18298,19193,19302,20223,22359,23141,24158,26558,28537,28790,29792,30405,31257,32209,33325,34250,35071,36000,37329,38505,40813,44371,45510,47479,50546
01131,"Wilcox, AL",16198,16975,17451,18490,19642,19950,21551,22206,22857,24113,25878,26463,26648,29783,27975,28958,29515,30369,31412,32887,35597,39717,38764,41811,44610
01133,"Winston, AL",19194,21113,21361,21758,23738,25030,25354,26372,27400,27028,27768,27847,28463,28613,30038,31572,31540,33120,33863,35706,39435,42930,43539,45219,47281
02010,"Aleutian Islands Census Area, AK*",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
02013,"Aleutians East Borough, AK*",22064,33210,28528,30570,31489,33624,35862,32467,35128,33844,35451,37000,36488,38592,39946,49228,57027,58230,56634,60425,56950,59339,63358,64260,49624
02016,"Aleutians West Census Area, AK*",21491,21713,25493,29167,29479,31312,34198,36922,40212,37867,40565,46214,50510,50407,53279,53821,56532,54369,57957,60015,62534,63869,68810,70481,69676
02020,"Anchorage Municipality, AK",35865,37895,39461,40842,42349,44598,46972,50680,55273,53792,56506,58689,59281,57420,60218,62671,61428,62579,65385,66370,67927,72192,76381,80155,84370
02050,"Bethel Census Area, AK*",21448,24338,26020,27511,27591,27917,28101,29136,30754,32123,34197,36542,37555,36694,39131,39819,40577,41686,44300,44272,45608,46974,49249,48857,50706
02060,"Bristol Bay Borough, AK",37453,32298,34130,39216,39933,43972,48175,53801,52166,60984,70792,78554,91162,107543,112522,106248,113390,119838,135706,137372,142607,164143,158101,163320,158406
02063,"Chugach Census Area, AK*",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),61425,68855,69975,72649,74430
02066,"Copper River Census Area, AK*",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),49326,58974,57376,60702,64258
02068,"Denali Borough, AK*",39132,39301,39401,40864,42762,46127,46422,49387,54260,56473,62493,70178,75202,77666,86018,87405,90636,94715,104804,102578,88625,109498,120140,130201,134417
